,coef,std_err,p_value,ci_low,ci_high
Prefecture_Kochi Prefecture,-0.3917852838254011,0.01282739780790592,9.737625011996234e-205,-0.4169265669301112,-0.36664400072069103
Prefecture_Kumamoto Prefecture,-0.4619673972758531,0.009877020249511564,0.0,-0.4813260361863012,-0.44260875836540503
Prefecture_Kyoto Prefecture,-0.0167766692260317,0.0049269424350588216,0.0006614677305613905,-0.02643331638513663,-0.007120022066926773
Prefecture_Mie Prefecture,-0.5502049850529294,0.00713860925691496,0.0,-0.564196427353985,-0.5362135427518737
Prefecture_Miyagi Prefecture,-0.2924074917602999,0.006461361605244751,0.0,-0.3050715506592327,-0.2797434328613671
Prefecture_Miyazaki Prefecture,-0.7172847477922327,0.009800577879874347,0.0,-0.736493562140831,-0.6980759334436345
Prefecture_Nagano Prefecture,-0.5481492968925713,0.007636465108644592,0.0,-0.5631165204940211,-0.5331820732911215
Prefecture_Nagasaki Prefecture,-0.43196843693669407,0.011632512718707074,1.5805111727879345e-301,-0.4547677840731729,-0.4091690898002152
Prefecture_Nara Prefecture,-0.3192845822407141,0.006600841859288266,0.0,-0.33222201790763517,-0.306347146573793
Prefecture_Niigata Prefecture,-0.650159379633802,0.0071607127630206905,0.0,-0.6641941440889635,-0.6361246151786405
Prefecture_Oita Prefecture,-0.594702871824707,0.010302249594363906,0.0,-0.61489494644078,-0.5745107972086341
Prefecture_Okayama Prefecture,-0.4144727013829979,0.008321768731772317,0.0,-0.43078309782899127,-0.39816230493700455
Prefecture_Okinawa Prefecture,-0.11100302154473841,0.024681076547276262,6.877024535628042e-06,-0.15937713000356013,-0.0626289130859167
Prefecture_Osaka Prefecture,-0.08026279012888211,0.003720424119429463,3.4511813801524683e-103,-0.08755470057376741,-0.07297087968399682
Prefecture_Saga Prefecture,-0.582713738092212,0.0127071163014813,0.0,-0.6076192733507442,-0.5578082028336799
Prefecture_Saitama Prefecture,-0.051116248242741275,0.0039066434099193645,4.0861015727224225e-39,-0.0587731424490937,-0.04345935403638885
Prefecture_Shiga Prefecture,-0.34087504847399763,0.00800647510507792,0.0,-0.35656747965154434,-0.3251826172964509
Prefecture_Shimane Prefecture,-0.694860140181954,0.014657144546903096,0.0,-0.7235876674699305,-0.6661326128939774
Prefecture_Shizuoka Prefecture,-0.2776791139232757,0.006621667776102528,0.0,-0.29065736771078393,-0.2647008601357675
Prefecture_Tochigi Prefecture,-0.5771781871201338,0.007700968041755081,0.0,-0.5922718343756013,-0.5620845398646663
Prefecture_Tokushima Prefecture,-0.6164585847541584,0.013779422446787768,0.0,-0.6434658052319213,-0.5894513642763954
Prefecture_Tokyo,0.5457602667960013,0.003591055278577203,0.0,0.5387219150776404,0.5527986185143622
Prefecture_Tottori Prefecture,-0.7270242950660818,0.015375944677342848,0.0,-0.7571606472650586,-0.696887942867105
Prefecture_Toyama Prefecture,-0.6982306032119617,0.009756035435138054,0.0,-0.7173521158154935,-0.6791090906084299
Prefecture_Wakayama Prefecture,-0.5784636053308508,0.009137554499867659,0.0,-0.5963729153878213,-0.5605542952738803
Prefecture_Yamagata Prefecture,-0.7887095175079275,0.0107978657266482,0.0,-0.8098729836470218,-0.7675460513688332
Prefecture_Yamaguchi Prefecture,-0.7629093457382612,0.008662517360920956,0.0,-0.7798875984308027,-0.7459310930457197
Prefecture_Yamanashi Prefecture,-0.4842270371991181,0.011796315043656967,0.0,-0.5073474315726474,-0.4611066428255888
