Prefecture,Municipality,median_price,count,median_area,price_per_m2
Saitama Prefecture,"Minami Ward,Saitama City",28500000.0,12,137.5,207272.72727272726
Saitama Prefecture,Niiza City,12000000.0,14,80.0,150000.0
Saitama Prefecture,"Omiya Ward,Saitama City",38000000.0,19,165.0,230303.0303030303
Saitama Prefecture,Sayama City,19000000.0,18,157.5,120634.92063492064
Saitama Prefecture,Shiki City,13000000.0,14,120.0,108333.33333333333
Saitama Prefecture,Soka City,19000000.0,19,110.0,172727.27272727274
Saitama Prefecture,Toda City,25000000.0,12,97.5,256410.2564102564
Saitama Prefecture,Tokorozawa City,23000000.0,27,130.0,176923.07692307694
Saitama Prefecture,"Urawa Ward,Saitama City",45000000.0,20,177.5,253521.12676056338
Saitama Prefecture,Wako City,44500000.0,10,215.0,206976.7441860465
Saitama Prefecture,Warabi City,31000000.0,17,85.0,364705.8823529412
Shiga Prefecture,Hikone City,6000000.0,23,210.0,28571.428571428572
Shiga Prefecture,Kusatsu City,14000000.0,15,170.0,82352.94117647059
Shiga Prefecture,Nagahama City,5000000.0,13,210.0,23809.52380952381
Shiga Prefecture,Otsu City,11000000.0,82,167.5,65671.64179104478
Shimane Prefecture,Hamada City,5500000.0,45,190.0,28947.36842105263
Shimane Prefecture,Izumo City,5000000.0,33,230.0,21739.130434782608
Shimane Prefecture,Matsue City,8500000.0,50,150.0,56666.666666666664
Shimane Prefecture,Oda City,4900000.0,10,325.0,15076.923076923076
Shimane Prefecture,Unnan City,2750000.0,10,197.5,13924.050632911392
Shizuoka Prefecture,"Aoi Ward,Shizuoka City",32000000.0,23,130.0,246153.84615384616
Shizuoka Prefecture,Atami City,7400000.0,33,200.0,37000.0
Shizuoka Prefecture,Fujinomiya City,10500000.0,14,175.0,60000.0
Shizuoka Prefecture,Ito City,9000000.0,31,180.0,50000.0
Shizuoka Prefecture,"Naka Ward,Hamamatsu City",21500000.0,32,117.5,182978.72340425532
Shizuoka Prefecture,Numazu City,21000000.0,23,160.0,131250.0
Shizuoka Prefecture,Shimada City,8000000.0,15,175.0,45714.28571428572
Shizuoka Prefecture,"Shimizu Ward,Shizuoka City",6300000.0,24,135.0,46666.666666666664
Shizuoka Prefecture,Shimoda City,6750000.0,14,212.5,31764.70588235294
Shizuoka Prefecture,"Suruga Ward,Shizuoka City",16000000.0,24,145.0,110344.8275862069
Shizuoka Prefecture,Yaizu City,4900000.0,18,195.0,25128.20512820513
Tochigi Prefecture,Ashikaga City,3000000.0,28,190.0,15789.473684210527
Tochigi Prefecture,Nikko City,3700000.0,10,155.0,23870.967741935485
Tochigi Prefecture,Oyama City,6000000.0,11,330.0,18181.81818181818
Tochigi Prefecture,Sano City,3500000.0,13,280.0,12500.0
Tochigi Prefecture,Tochigi City,5000000.0,23,260.0,19230.76923076923
Tochigi Prefecture,Utsunomiya City,13500000.0,34,197.5,68354.43037974683
Tokushima Prefecture,Tokushima City,13000000.0,57,175.0,74285.71428571429
Tokushima Prefecture,Yoshinogawa City,3150000.0,12,555.0,5675.675675675676
Tokyo,Adachi Ward,24000000.0,114,97.5,246153.84615384616
Tokyo,Akishima City,25000000.0,17,125.0,200000.0
Tokyo,Arakawa Ward,24000000.0,73,70.0,342857.14285714284
Tokyo,Bunkyo Ward,47000000.0,120,80.0,587500.0
